timestamp,@GV.HRR_kWLastMinAve,@GV.HRR_kVAR,@GV.HRR_kW,@GV.SD_04,@GV.SD_05,@GV.SD_38,@GV.primaryLovatoReadings.EqvPowerFactor,@GV.primaryLovatoReadings.EqvActivePower,@GV.primaryLovatoReadings.EqvReactivePower,@GV.primaryLovatoReadings.L1PhaseVoltage,@GV.primaryLovatoReadings.L2PhaseVoltage,@GV.primaryLovatoReadings.L3PhaseVoltage,@GV.HRR_WTCorrectedWindSpeed,@GV.primaryLovatoReadings.L1Current,@GV.primaryLovatoReadings.L2Current,@GV.primaryLovatoReadings.L3Current,@GV.HRR_GeneratorWindingTemp,@GV.HRR_NacelleAirTemp,@GV.HRR_OutsideAirTemp,@GV.HRR_GearboxOilTemp,@GV.HRR_GeneratorWindingTemp
2013-04-15 15:59:44.409000,299,-95,412,0,0,0,9743,4126,-954,24552,24648,24641,79,519,457,511,484,161,105,567,484
2013-04-15 16:00:26.770000,360,-49,315,0,0,0,9798,2546,-497,24540,24669,24659,68,479,414,472,485,159,106,566,485
2013-04-15 16:01:09.432000,323,-76,311,0,0,0,9795,3476,-764,24523,24681,24660,74,542,474,453,486,160,106,567,486
2013-04-15 16:01:26.356000,324,-64,309,0,0,0,9788,3099,-647,24592,24722,24704,77,591,522,600,485,161,106,567,485
2013-04-15 16:01:43.280000,346,-85,370,0,0,0,9745,3705,-851,24527,24630,24617,68,454,392,444,486,160,105,566,486
2013-04-15 16:02:00.405000,358,-32,173,0,0,0,9823,1732,-329,24431,24566,24571,63,318,260,310,489,160,104,567,489
2013-04-15 16:02:17.329000,332,-57,285,0,0,0,9805,2858,-571,24461,24598,24586,67,360,298,350,487,163,105,568,487
2013-04-15 16:02:34.153000,298,-93,408,0,0,0,9747,4086,-935,24567,24700,24673,77,581,511,573,486,157,106,567,486
2013-04-15 16:02:50.978000,293,-52,260,0,0,0,9804,2604,-522,24509,24625,24614,59,445,381,417,487,157,108,567,487
2013-04-15 16:03:08.603000,304,-71,341,0,0,0,9790,3418,-710,24534,24665,24668,74,517,447,478,488,157,107,566,488
2013-04-15 16:03:25.928000,322,-40,300,0,0,0,9801,1946,-408,24504,24628,24625,60,433,371,427,485,159,107,566,485
2013-04-15 16:03:42.652000,292,-77,341,0,0,0,9754,3411,-773,24619,24646,24632,77,451,390,640,485,162,106,566,485
2013-04-15 16:03:59.676000,321,-87,389,0,0,0,9759,3893,-870,24615,24746,24662,71,612,410,604,486,161,106,568,486
2013-04-15 16:04:16.400000,315,-92,410,0,0,0,9754,4103,-924,24642,24753,24735,76,632,561,625,487,162,106,567,487
2013-04-15 16:04:33.225000,337,-58,362,0,0,0,9766,2875,-589,24536,24649,24657,62,409,346,397,485,161,107,567,485
2013-04-15 16:04:49.949000,316,-41,216,0,0,0,9824,2162,-410,24495,24646,24636,55,365,306,315,488,162,106,566,488
2013-04-15 16:05:06.673000,305,-64,311,0,0,0,9790,3119,-648,24581,24675,24678,67,441,378,430,486,163,107,566,486
2013-04-15 16:05:23.247000,299,-39,216,0,0,0,9839,2165,-392,24457,24582,24575,58,333,276,323,486,161,107,566,486
2013-04-15 16:05:40.021000,273,-36,207,0,0,0,9786,1935,-369,24470,24599,24588,55,312,256,340,486,165,106,566,486
2013-04-15 16:05:56.645000,251,-43,219,0,0,0,9804,2191,-439,24470,24519,24538,57,202,151,330,483,164,105,566,483
2013-04-15 16:06:13.669000,244,-102,430,0,0,0,9728,4305,-1023,24589,24711,24692,72,550,483,544,483,162,106,567,483
2013-04-15 16:06:30.393000,273,-67,324,0,0,0,9790,3248,-675,24509,24636,24604,70,387,331,382,486,164,106,567,486
2013-04-15 16:06:47.217000,298,-52,275,0,0,0,9822,2758,-528,24471,24586,24579,60,313,258,306,485,164,106,566,485
2013-04-15 16:08:19.550000,311,-75,355,0,0,0,9782,3557,-752,24533,24656,24625,68,437,378,431,484,162,105,566,484
2013-04-15 16:08:36.474000,263,-47,250,0,0,0,9825,2509,-475,24420,24543,24533,69,268,219,261,483,161,106,566,483
2013-04-15 16:08:53.299000,271,-81,193,0,0,0,9822,3752,-814,24527,24648,24620,72,481,421,474,484,159,106,565,484
2013-04-15 16:09:10.123000,293,-81,418,0,0,0,9746,2874,-961,24555,24652,24631,74,487,428,525,483,161,106,567,483
2013-04-15 16:09:27.047000,310,-51,253,0,0,0,9799,2539,-517,24491,24615,24507,61,207,160,377,483,161,106,565,483
2013-04-15 16:09:43.611000,345,-62,312,0,0,0,9806,3124,-622,24597,24693,24665,68,527,467,521,485,163,105,567,485
2013-04-15 16:10:00.595000,325,-16,64,0,0,0,9113,644,-166,24456,24581,24584,45,303,249,296,484,164,106,565,484
2013-04-15 16:10:17.520000,290,-56,291,0,0,0,9816,2917,-566,24536,24655,24653,70,416,355,404,484,164,105,566,484
2013-04-15 16:10:34.845000,265,-63,187,0,0,0,9757,3096,-633,24474,24626,24639,68,374,315,326,483,160,106,567,483
2013-04-15 16:10:51.669000,244,-41,264,0,0,0,9807,1920,-411,24478,24603,24611,51,345,288,336,482,161,106,567,482
2013-04-15 16:11:08.693000,270,-67,321,0,0,0,9784,3218,-679,24562,24570,24567,65,293,237,501,482,158,105,566,482
2013-04-15 16:11:26.018000,258,-66,323,0,0,0,9793,3230,-668,24481,24672,24652,62,518,459,346,481,158,107,565,481
2013-04-15 16:11:43.143000,264,-61,295,0,0,0,9792,2950,-615,24510,24672,24685,61,494,434,362,481,159,105,566,481
2013-04-15 16:12:00.067000,298,-61,295,0,0,0,9789,2957,-617,24621,24739,24721,64,569,511,567,481,161,106,566,481
2013-04-15 16:12:16.791000,286,-61,249,0,0,0,9784,2498,-527,24555,24693,24666,71,449,390,444,481,160,107,566,481
